"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"1"," 211Aa",15666657020004,54.162414,3.55628906700259,17.2014380545151,0.160714285714286,0.2,NA,"mature",17.3240979556204,46289.8653917933,1.16691993198316,0.259930192709979,1,282.848162,0.00915750915750916,0.0152625152625153,1,374.82641,2013,23193122,"2013-08-13",15663514020004,1320309010538,107545472010661,23,3,19,988551.962263059,1977220.95400142
"2"," 211Ba",15666194020004,6.018046,0.446461060253852,2.17555898917401,0.0303030303030303,0.111111111111111,NA,"mature",9.74349958032181,35163.6255737591,1.41421356237309,0.259930192709979,1,192.577472,0.0346020761245675,0.00384467512495194,1,1049.513948,2013,23213194,"2013-07-22",15663514020004,1320311010538,107546452010661,23,5,21,874946.635909319,1925254.66774977
"3"," 211Ba",15666220020004,36.108276,0.656106561875684,2.17925263626589,0.105263157894737,NA,NA,"pole",11.7062693777605,24726.9265804503,0.840168050416806,0.298626578204676,1,306.920346,0.0070323488045007,0.0070323488045007,1,1574.270922,2013,23193701,"2013-09-11",15663514020004,1320309010538,107546376010661,23,3,19,968613.547020625,1973426.10379378
"4"," 211Ba",15666307020004,114.342874,4.12243865000055,17.7903749593867,0.372549019607843,0.25,NA,"mature",7.37381929944435,18043.2277738711,1.23743686707646,0.277987164150759,1,192.577472,0.0224466891133558,0.0252525252525252,1,449.791692,2013,23213543,"2013-09-19",15663514020004,1320311010538,107545658010661,23,5,21,894751.424263219,1945252.78115822
"5"," 211Ba",15666309020004,30.09023,0.974767724340867,3.91025073705847,0.119047619047619,NA,12.8792494687102,"pole",7.15886786076329,15592.00819446,0.821994936526786,0.32188758248682,1,222.667702,0.0266666666666667,0.0133333333333333,1,974.548666,2013,23212976,"2013-07-22",15663514020004,1320311010538,107545662010661,23,5,21,890506.69903879,1935265.44198014
"6"," 211Ba",15666635020004,120.36092,3.81368800215749,16.3450177074934,0.238095238095238,NA,NA,"late",29.3872068475595,62355.0231543169,1.25,0.32188758248682,0.25,385.154944,0.0089126559714795,0.0089126559714795,0.25,299.861128,2013,23212783,"2013-09-18",15663514020004,1320311010538,107545646010661,23,5,21,951689.85672106,1955712.19106343
"7"," 211Ba",15666659020004,6.018046,0.0990746523300844,0.342441728316749,0.0434782608695652,NA,NA,"mature",5.50304957159014,19153.8923445806,1.27920429813366,0.298626578204676,1,132.397012,0.0638569604086845,0.00638569604086845,1,374.82641,2013,23192823,"2013-10-11",15663514020004,1320309010538,107545476010661,23,3,19,975733.948658624,1976858.13785166
"8"," 211Ba",15666661020004,36.108276,1.74733045649928,5.16436005949438,0.206896551724138,0.25,7.76057339781254,"mature",6.58509480497909,18588.7967389302,1.04257207028537,0.32188758248682,1,138.415058,0.0182398540811674,0.0227998176014592,1,674.687538,2013,23193166,"2013-06-13",15663514020004,1320309010538,107545480010661,23,3,19,949919.043987449,1982813.63498913
"9"," 211Ba",15666662020004,6.018046,0.185524833726141,0.830761982300552,0.0175438596491228,NA,NA,"pole",10.0014778994085,17925.4992945722,0.668153104781061,0.32188758248682,1,337.010576,0.0192400192400192,0.00240500240500241,1,1199.444512,2013,23193633,"2013-10-30",15663514020004,1320309010538,107545482010661,23,3,19,961537.439672903,1970906.44064625
"10"," 211Ba",15666759020004,18.054138,1.1146736969141,5.87037254077729,0.1,0.166666666666667,NA,"mature",7.15648933725398,10091.7468127581,0.769800358919501,0.346573590279973,1,162.487242,0.0132075471698113,0.0132075471698113,1,4722.812766,2013,23213462,"2013-10-31",15663514020004,1320311010538,107545812010661,23,5,21,901029.104091875,1932587.89533944
"11"," 211Ba",15666806020004,30.09023,1.52548739841945,8.02663356587869,0.0980392156862745,0.0625,NA,"mature",17.9633109018017,43635.4193793278,0.737209780774486,0.32188758248682,1,276.830116,0,0.00754147812971342,NA,NA,2013,23193117,"2013-09-10",15663514020004,1320309010538,107545486010661,23,3,19,949896.931944924,1970333.94105438
